nome,genero,cor_raca,regiao,twitter,usuario_twitter
JULIO FERRAZ ARCOVERDE,MASCULINO,PARDA,Nordeste,https://twitter.com/julioarcoverde,julioarcoverde
JÚLIO CÉSAR DE CARVALHO LIMA,MASCULINO,BRANCA,Nordeste,https://twitter.com/depjuliocesarPI,depjuliocesarPI
GERALDO JUNIO DO AMARAL,MASCULINO,BRANCA,Sudeste,https://twitter.com/cabojunioamaral,cabojunioamaral
ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,MASCULINO,PARDA,Nordeste,https://twitter.com/juniormanodep,juniormanodep
KIM PATROCA KATAGUIRI,MASCULINO,AMARELA,Sudeste,https://twitter.com/kimkataguiri,kimkataguiri
LAFAYETTE LUIZ DOORGAL DE ANDRADA,MASCULINO,BRANCA,Sudeste,https://twitter.com/lafayetteandrad,lafayetteandrad
LEONARDO SILVA PRATES,MASCULINO,PARDA,Nordeste,https://twitter.com/LeonardoPrates4,LeonardoPrates4
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,MASCULINO,BRANCA,Nordeste,https://twitter.com/joseleonidas,joseleonidas
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,MASCULINO,PARDA,Nordeste,https://twitter.com/leurlomantojr,leurlomantojr
LUCAS CAVALCANTI RAMOS,MASCULINO,BRANCA,Nordeste,https://twitter.com/lucasramospe,lucasramospe
LUIS HENRIQUE DE OLIVEIRA RESENDE,MASCULINO,BRANCA,Sudeste,https://twitter.com/LuisTibeOficial,LuisTibeOficial
LUIZ CARLOS MOTTA,MASCULINO,BRANCA,Sudeste,https://twitter.com/deputadomotta,deputadomotta
LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,MASCULINO,BRANCA,Sudeste,https://twitter.com/oficialluizlima,oficialluizlima
LUIZ PHILIPPE DE ORLEANS BRAGANÇA,MASCULINO,BRANCA,Sudeste,https://twitter.com/lpbragancabr,lpbragancabr
LUIZIANNE DE OLIVEIRA LINS,FEMININO,BRANCA,Nordeste,https://twitter.com/luiziannelinsPT,luiziannelinsPT
MAGDA MOFATTO HON,FEMININO,BRANCA,Centro-Oeste,https://twitter.com/MofattoMagda,MofattoMagda
FERNANDO JOSE DE SOUZA MARANGONI,MASCULINO,BRANCA,Sudeste,https://twitter.com/marangoni_fer,marangoni_fer
MARCEL VAN HATTEM,MASCULINO,BRANCA,Sul,https://twitter.com/MARCELVANHATTEM,MARCELVANHATTEM
MARCELO HENRIQUE TEIXEIRA DIAS,MASCULINO,BRANCA,Sudeste,https://twitter.com/marceloalvaroan,marceloalvaroan
MARCIO JOSE HONAISER,MASCULINO,BRANCA,Nordeste,https://twitter.com/Marcio_Honaiser,Marcio_Honaiser
MÁRCIO JERRY SARAIVA BARROSO,MASCULINO,PARDA,Nordeste,https://twitter.com/marciojerry,marciojerry
MÁRCIO CARLOS MARINHO,MASCULINO,PRETA,Nordeste,https://twitter.com/dpmarciomarinho?lang=pt-br,dpmarciomarinho
MARCO AURELIO BERTAIOLLI,MASCULINO,BRANCA,Sudeste,https://twitter.com/MarcoBertaiolli,MarcoBertaiolli
MARCO AURELIO RIBEIRO,MASCULINO,PARDA,Sul,https://twitter.com/marco_brasil,marco_brasil
MARCOS ANTONIO PEREIRA,MASCULINO,PARDA,Sudeste,https://twitter.com/marcospereira04,marcospereira04
MARIA LEAL ARRAES DE ALENCAR,FEMININO,BRANCA,Nordeste,https://twitter.com/mariaarraespe,mariaarraespe
MARIA DO ROSÁRIO NUNES,FEMININO,BRANCA,Sul,https://twitter.com/mariadorosario,mariadorosario
MARIA DO PARTO MENDES ROSAS,FEMININO,PARDA,Sudeste,https://twitter.com/mariarosassp,mariarosassp
ANTONIO DA CRUZ FILGUEIRA NETO,MASCULINO,BRANCA,Nordeste,https://twitter.com/depmarrecafilho,depmarrecafilho
MARUSSA CASSIA FAVARO BOLDRIN VAZ,FEMININO,BRANCA,Centro-Oeste,https://twitter.com/marussago,marussago
MAURICIO LUIZ DE SOUZA,MASCULINO,BRANCA,Sudeste,https://twitter.com/mauriciodovolei,mauriciodovolei
MANOEL MAURICIO SILVA NEVES,MASCULINO,BRANCA,Sudeste,https://twitter.com/MauricioNeves_,MauricioNeves_
MAX RODRIGUES LEMOS,MASCULINO,PARDA,Sudeste,https://twitter.com/maxlemosoficial,maxlemosoficial
ROZIMEIRE RIBEIRO ANDRADE,FEMININO,PARDA,Norte,https://twitter.com/depmeireserafim,depmeireserafim
MIGUEL ÂNGELO MONTEIRO ANDRADE,MASCULINO,PARDA,Sudeste,https://twitter.com/MiguelAngelo_,MiguelAngelo_
MILTON VIEIRA PINTO,MASCULINO,BRANCA,Sudeste,https://twitter.com/depmiltonvieira,depmiltonvieira
MURILLO GOUVEA RODRIGUES,MASCULINO,BRANCA,Sudeste,https://twitter.com/murillogouvea.rj,murillogouvea.rj
CÁSSIO MURILO GALDINO DE ARAÚJO,MASCULINO,BRANCA,Nordeste,https://twitter.com/Murilogaldinopb,Murilogaldinopb
NATÁLIA BASTOS BONAVIDES,FEMININO,BRANCA,Nordeste,https://twitter.com/Natbonavides,Natbonavides
ANTONIO CARLOS NICOLETTI,MASCULINO,BRANCA,Norte,https://twitter.com/depnicoletti,depnicoletti
NIKOLAS FERREIRA DE OLIVEIRA,MASCULINO,BRANCA,Sudeste,https://twitter.com/nikolas_dm,nikolas_dm
ODAIR JOSÉ DA CUNHA,MASCULINO,BRANCA,Sudeste,https://twitter.com/odaircunhamg,odaircunhamg
OLIVAL HENRIQUE MARQUES DE SOUZA,MASCULINO,BRANCA,Norte,https://twitter.com/OlivalMarquesOf,OlivalMarquesOf
ORLANDO SILVA DE JESUS JUNIOR,MASCULINO,PRETA,Sudeste,https://twitter.com/orlandosilva,orlandosilva
OSMAR GASPARINI TERRA,MASCULINO,BRANCA,Sul,https://twitter.com/OsmarTerra,OsmarTerra
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,MASCULINO,BRANCA,Nordeste,https://twitter.com/OttoAlencarFilh,OttoAlencarFilh
NELSON FERNANDO PADOVANI,MASCULINO,BRANCA,Sul,https://twitter.com/padovanidep,padovanidep
